product_id,name,category,brand,price,currency,cost,rating,review_count,stock_qty,is_active,description,created_at
P00001,Lipstick po-104,Beauty,NaturaCare,73.47,SGD,30.29,4.2,14,469,True,Town war security economic newspaper consider again tax change.,2024-03-25 11:56:36
P00002,Mouse fL-218,Electronics,SwiftPeak,39.22,CAD,16.48,4.1,8,522,True,Heart heavy fly specific opportunity position sure court.,2024-05-31 01:48:29
P00003,Gloves fn-600,Clothing,SamsungPro,63.29,USD,32.94,4.4,7,3355,True,Science ability much crime wish family kind toward adult maybe.,2024-04-03 23:49:10
P00004,Shorts bJ-389,Clothing,AmazonBasics,754.79,BRL,344.13,4.4,10,743,True,Material out two activity let source action hear raise she range author she finish small.,2024-01-23 02:51:04
P00005,Comic Book oC-386,Books,TruBlend,40.09,AUD,17.7,4.8,7,19,True,Market perhaps tough however play decide way our first do continue TV listen some.,2024-05-30 01:51:48
P00006,Conditioner WZ-940,Beauty,BoschHome,20.7,GBP,12.19,3.6,13,4903,True,Treatment note adult ball human my center painting agree.,2024-01-06 05:23:11
P00007,Play-Doh rj-265,Toys,VividHue,798.43,BRL,471.76,3.2,23,3048,True,Of until character experience author under western shoulder despite charge fish serious.,2024-03-10 16:59:26
P00008,Tablet fy-351,Electronics,TruBlend,5928.35,INR,3883.49,4.3,7,2123,True,I job leg result child impact step reveal professional west amount help friend else method position.,2024-01-27 14:02:31
P00009,Lamp Mq-155,Home & Kitchen,VividHue,16.36,GBP,8.25,3.4,6,2594,True,Fund create rich development Mrs surface analysis off surface difference talk ask politics computer charge.,2024-04-19 16:31:54
P00010,Headphones hy-078,Electronics,UrbanStyle,56.97,USD,21.48,3.2,25,2666,True,Site head fast production third represent Mrs thank myself.,2024-04-09 18:41:24
P00011,Sneakers ON-184,Clothing,ApexFit,31.87,AUD,14.38,4.6,29,1685,False,Matter husband throw billion old most energy Mr hope writer seek student purpose amount home.,2024-05-12 12:25:21
P00012,Running Shoes Te-593,Sports,NikeGear,103.33,BRL,73.63,4.8,13,3345,True,Up trouble marriage point lose story minute simply where point example thank see simple budget.,2024-03-28 14:50:30
P00013,Smartphone fo-034,Electronics,BoschHome,42.18,USD,24.07,4.1,7,594,True,Right design probably born cell us speak condition cover admit real animal clear.,2024-04-04 15:05:38
P00014,Jeans DO-164,Clothing,SamsungPro,6.6,SGD,4.04,3.7,13,1480,True,Mother somebody both run visit true nothing technology tend bed television.,2024-01-01 04:33:41
P00015,Moisturiser wn-525,Beauty,NaturaCare,490.29,INR,172.94,3.9,6,4425,True,,2024-03-26 20:11:59
